Unnamed: 0,Planet Name,Planet Letter,Host Star Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Proper Motion,Planet Reference Name,Discovery Method,Discovery Year,Discovery Publication Date,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Error (Lower),Star Mass Error (Upper),Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Distance Error (Lower),Distance Error (Upper),Parallax Error (Lower),Parallax Error (Upper),Semi-Major Axis (AU),Star Radius (AU),Star Age (Gyr)
11,TOI-1224 b,b,TOI-1224,0.0664496047843617,0.0,89.19,2.104,3.0,549.6803278110128,13.9295288437077,27.6676,1.67590401611464,0.4,3326.0,-1.697,0.4,0.21,0.02,37.3312,26.7584,162.1555329,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,Transit,2024,2024-07,0,0,0,0,37.1978356,-80.8991053,298.34809,-35.34548,0.094,-0.091,0.0,0.01,-0.01,0.0,0.01,-0.01,0.0,0.027,-0.027,0.0,0.0601,-0.0599,0.0427381,-0.0427381,0.0355,0.001939252,98.82117688026185
12,TOI-1224 c,c,TOI-1224,17.945466,0.0,86.90317161570154,2.884,1.99,303.122687619849,1.99523830301101,51.984099999999984,3.07400719591409,0.4,3326.0,-1.697,0.4,0.21,0.02,37.3312,26.7584,162.1555329,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,Transit,2024,2024-07,0,0,0,0,37.1978356,-80.8991053,298.34809,-35.34548,0.098,-0.098,0.0,0.01,-0.01,0.0,0.01,-0.01,0.0,0.027,-0.027,0.0,0.0601,-0.0599,0.0427381,-0.0427381,0.1028,0.001939252,98.82117688026185
13,HD 48948 b,b,HD 48948,0.1259292789262357,0.055,86.90317161570154,2.06,3.07,730.2965254906032,138.85,9.177335640138407,3.184,0.69,4593.0,-0.78884954526911,0.68,11.48,-0.21,16.9043,59.1275,482.4922225,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>,Radial Velocity,2024,2024-07,1,0,1,0,102.489811,60.3373133,155.49874,23.16543,0.27,-0.213,0.0,0.02,-0.01,0.0,0.0,-0.0,0.0,1.93,-4.67,0.0,0.019,-0.0189,0.0659227,-0.0659227,0.0652,0.0032967284,25.28583345636825
14,HD 48948 c,c,HD 48948,0.6518403298434108,0.55,86.90317161570154,2.6,2.27,422.1768329196349,15.5,14.619377162629757,3.184,0.69,4593.0,-0.78884954526911,0.68,11.48,-0.21,16.9043,59.1275,482.4922225,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>,Radial Velocity,2024,2024-07,1,0,1,0,102.489811,60.3373133,155.49874,23.16543,0.27,-0.213,0.0,0.02,-0.01,0.0,0.0,-0.0,0.0,1.93,-4.67,0.0,0.019,-0.0189,0.0659227,-0.0659227,0.1951,0.0032967284,25.28583345636825
15,HD 48948 d,d,HD 48948,2.5897108152769484,0.055,86.90317161570154,3.24,1.71,266.55758789656426,2.46,22.70242214532872,3.184,0.69,4593.0,-0.78884954526911,0.68,11.48,-0.21,16.9043,59.1275,482.4922225,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>,Radial Velocity,2024,2024-07,1,0,1,0,102.489811,60.3373133,155.49874,23.16543,0.27,-0.213,0.0,0.02,-0.01,0.0,0.0,-0.0,0.0,1.93,-4.67,0.0,0.019,-0.0189,0.0659227,-0.0659227,0.4894,0.0032967284,25.28583345636825
16,WASP-76 b,b,WASP-76,0.0311726949961084,0.0,89.623,20.781,0.17,2275.6558830621702,5.533616940064665e-13,139.41437274018594,3.8,1.46,6329.0,0.65417654187796,1.76,1.816,0.366,194.459,5.12043,61.0509847,<a refstr=EHRENREICH_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.580..597E/abstract target=ref>Ehrenreich et al. 2020</a>,Transit,2016,2016-01,0,0,0,0,26.632936,2.700389,149.08514,-57.34698,0.863,-0.852,0.0,0.02,-0.02,0.0,0.07,-0.07,0.0,0.274,-0.274,0.0,6.206,-5.839,0.157874,-0.157874,0.033,0.0085327088,3.882557180532783
17,OGLE-2014-BLG-0221L b,b,OGLE-2014-BLG-0221L,55.14892996294442,0.0,86.90317161570154,12.9,3.54,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.69,5551.0,-0.0712,0.95,4.0,0.02,3680.0,2.713985,18.7319359,<a refstr=KIRIKAWA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..154K/abstract target=ref>Kirikawa et al. 2024</a>,Microlensing,2024,2024-04,0,0,0,0,270.30375,-27.4267639,3.04491,-2.19528,0.27,-0.213,0.0,0.26,-0.3,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,1130.0,-1160.0,0.0301566,-0.0301566,3.76,0.0046057235,25.28583345636825
18,PDS 70 b,b,PDS 70,644.6412107305764,0.19,140.0,30.488,0.185,49.08532208449365,1.1744270715967736e-11,585.4863592844545,3.184,0.76,3972.0,-0.455931955649724,1.26,0.005,-0.11,113.064,8.81593,38.0431872,<a refstr=WANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..263W/abstract target=ref>Wang et al. 2020</a>,Imaging,2018,2018-09,0,0,0,1,212.0421402,-41.3980405,318.06196,19.20844,2.242,-1.906,0.0,0.02,-0.02,0.0,0.15,-0.15,0.0,0.001,-0.001,0.0,0.523,-0.519,0.0404722,-0.0404722,20.0,0.0061086438,19.85939524502785
19,bet Pic b,b,bet Pic,148.91035325723504,0.106,89.009,18.49485,3.24,155.38622172800348,7.818106851747219e-11,143.455442757223,3.184,1.79,8038.68,0.95281911962271,1.54416,0.0165,-0.21,19.7442,50.6231,82.614613,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Imaging,2008,2009-01,1,0,0,4,86.8212337,-51.066148,258.36341,-30.61167,0.67254,-0.67254,0.0,0.03,-0.03,0.0,0.0511945,-0.05,0.0,0.0045,-0.0045,0.0,0.132,-0.1303,0.333881,-0.333881,10.018,0.0074862884208,2.332745834249667
20,51 Eri b,b,51 Eri,227.7832267506716,0.45,133.0,13.4,1.45,120.56018618181363,3.070409229086173e-11,81.17752410768168,3.184,1.75,7295.0,0.85,1.48726,0.02,-0.027,29.7575,33.577,77.7287954,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,Imaging,2015,2015-00,1,0,0,6,69.4007424,-2.4738245,198.61297,-30.65764,0.27,-0.213,0.0,0.05,-0.05,0.0,0.0454337,-0.0550789,0.0,0.006,-0.006,0.0,0.1213,-0.1203,0.135431,-0.135431,13.2,0.0072104298238,2.468339415570464
21,VHS J125601.92-125723.9 b,b,VHS J125601.92-125723.9,155500.9028355428,0.68,24.0,13.675,10.9,1194.0,1.1744270715967736e-11,9.32814340390306,3.184,0.07,2620.0,-3.14,0.95,0.14,0.02,12.7,78.8,338.9409978,<a refstr=DUPUY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.1688D/abstract target=ref>Dupuy et al. 2023</a>,Imaging,2015,2015-05,0,0,0,4,194.008964,-12.956031,304.67123,49.90019,0.27,-0.213,0.0,0.019,-0.014,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,1.0,-1.0,6.4,-6.4,350.0,0.0046057235,7713.560673657697
22,GQ Lup b,b,GQ Lup,7509.842836890552,0.0,86.90317161570154,33.6,0.921,29.910982073609137,1.1744270715967736e-11,299.49552918786407,3.184,0.7,4360.0,-0.0723898966143153,1.94153,0.001,-0.35,151.169,6.58678,27.5688043,<a refstr=NEUHAEUSER_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A%26A...484..281N/abstract target=ref> Neuh&auml;user et al. 2008 </a>,Imaging,2004,2005-05,0,0,0,1,237.3003643,-35.6515055,338.9253,14.51078,5.6,-5.6,0.0,0.05,-0.05,0.0,0.0511945,-0.05,0.0,0.001,-0.001,0.0,1.096,-1.081,0.0472756,-0.0472756,100.0,0.0094127898389,24.3924205986611
23,PDS 70 c,c,PDS 70,1428.8658207057572,0.11,132.0,22.866,0.292,34.581253846218225,1.1744270715967736e-11,462.5781363828621,3.184,0.76,3972.0,-0.488529214244362,1.0631576,0.005,-0.11,113.064,8.81593,38.0431872,<a refstr=WANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..263W/abstract target=ref>Wang et al. 2020</a>,Imaging,2019,2019-06,0,0,0,1,212.0421402,-41.3980405,318.06196,19.20844,6.837,-5.044,0.0,0.02,-0.02,0.0,0.036471,-0.112212,0.0,0.001,-0.001,0.0,0.523,-0.519,0.0404722,-0.0404722,34.0,0.005154326255288,19.85939524502785
24,bet Pic c,c,bet Pic,20.604189898956115,0.314,88.947,12.5,9.07,336.552331990721,7.860617203965814e-11,38.61326772544382,3.184,1.79,7890.0,0.958,2.0116005,0.023,-0.21,19.7442,50.6231,82.614613,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Radial Velocity,2019,2019-08,1,0,0,0,86.8212337,-51.066148,258.36341,-30.61167,0.27,-0.213,0.0,0.03,-0.03,0.0,0.172099,-0.150008,0.0,2.2,-1.9,0.0,0.132,-0.1303,0.333881,-0.333881,2.68,0.009752500732065,2.332745834249667
25,2MASS J12073346-3932539 b,b,2MASS J12073346-3932539,18122.115948372262,0.0,86.90317161570154,12.9,4.07,8.774095495688735,1.1744270715967736e-11,3473.817068793157,3.184,0.02,2825.0,-2.56085685784885,0.21887,0.008,0.02,64.308,15.5242,68.3315134,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,Imaging,2004,2004-10,0,0,0,1,181.8890906,-39.5484399,293.79011,22.54309,0.27,-0.213,0.0,0.05,-0.05,0.0,0.006976,-0.006976,0.0,0.004,-0.003,0.0,0.6569,-0.644,0.156079,-0.156079,55.0,0.0010611102131,176776.69529663687
26,TOI-5704 b,b,TOI-5704,3.771116,0.0,88.94,3.227,1.72,949.07,125.06433293716,18.028962950138503,2.3375061149659,0.73,4590.0,-0.639265378494127,0.76,4.0,0.428,89.637,11.1273,49.8758414,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,Transit,2023,2023-01,0,0,0,0,169.8248694,44.9890782,162.7089,64.37164,0.187,-0.14,0.0,0.08,-0.08,0.0,0.06,-0.06,0.0,2.2,-1.9,0.0,0.2702,-0.2687,0.0332793,-0.0332793,0.1028,0.0036845788,21.96306008559403
27,HD 23472 d,d,HD 23472,0.0683977922484665,0.07,87.95,0.75,7.5,937.3137450420862,117.0,1.115850029756001,1.99,0.67,4684.0,-0.625,0.71,4.0,-0.2,39.0341,25.5897,111.5773854,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,Transit,2022,2022-09,1,0,0,0,55.4590314,-62.7672667,277.0269,-44.84798,0.067,-0.057,0.0,0.03,-0.03,0.0,0.02,-0.02,0.0,2.2,-1.9,0.0,0.0401,-0.04,0.0260766,-0.0260766,0.04298,0.0034421723,27.215291681065985
28,TOI-672 b,b,TOI-672,3.633575,0.0,88.43,5.26,0.91,676.15,33.4742849468177,94.88203017832647,1.78090766973933,0.54,3765.0,-1.32054938983531,0.54,4.0,-0.71,66.9071,14.9172,113.2837986,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,Transit,2023,2023-01,0,0,0,0,167.9908627,-39.3281151,282.7301,19.60977,0.083,-0.099,0.0,0.02,-0.02,0.0,0.02,-0.02,0.0,2.2,-1.9,0.0,0.15285,-0.15285,0.0338933,-0.0338933,0.1028,0.0026179902,46.66761436486773
29,TOI-199 b,b,TOI-199,1.7980930810844238,0.09,90.0,9.079,0.397,359.21381784656506,2.75278,122.58810380725762,6.554,0.94,5255.0,-0.338,0.82,0.8,0.22,102.27,9.74907,74.1998185,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,Transit,2023,2023-09,0,0,0,0,80.1058735,-59.8954326,268.76577,-34.55037,0.056,-0.056,0.0,0.0,-0.01,0.0,0.0,-0.0,0.0,1.2,-0.6,0.0,0.191,-0.19,0.0180567,-0.0180567,0.4254,0.0039754666,11.672943031448549
30,TOI-199 c,c,TOI-199,4.698143131276292,0.096,90.0,11.4,0.33,260.8044574429227,1.1744270715967736e-11,193.2778108268888,3.184,0.94,5255.0,-0.338,0.82,0.8,0.22,102.27,9.74907,74.1998185,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,Transit Timing Variations,2023,2023-09,0,0,0,0,80.1058735,-59.8954326,268.76577,-34.55037,0.27,-0.213,0.0,0.0,-0.01,0.0,0.0,-0.0,0.0,1.2,-0.6,0.0,0.191,-0.19,0.0180567,-0.0180567,0.807,0.0039754666,11.672943031448549
31,KELT-18 b,b,KELT-18,0.0494623981920839,0.0,88.86,17.598,0.377,2127.692926250438,2.517873373516636e-13,84.89065650612646,4.644,1.52,6670.0,0.813,1.91,1.9,0.09,321.376,3.08284,20.4082171,<a refstr=MCLEOD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..263M/abstract target=ref>McLeod et al. 2017</a>,Transit,2017,2017-06,0,0,0,0,216.5238248,59.4442735,102.71473,53.81036,0.471,-0.404,0.0,0.07,-0.07,0.0,0.04,-0.04,0.0,0.2,-0.2,0.0,2.509,-2.47,0.0239248,-0.0239248,0.0455,0.0092599283,3.510678262005768
32,TOI-2096 c,c,TOI-2096,0.1048107762190858,0.1,89.56,1.914,3.39,389.6009370336524,3.7,69.25134215500944,1.354,0.23,3300.0,-2.228,0.23,4.0,-0.03,48.4809,20.5978,79.5009908,<a refstr=POZUELOS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230308174P/abstract target=ref>Pozuelos et al. 2023</a>,Transit,2023,2023-03,0,0,0,0,151.6186989,74.8272107,135.57433,37.96972,0.095,-0.095,0.0,0.01,-0.01,0.0,0.01,-0.01,0.0,2.2,-1.9,-1.0,0.0982,-0.0978,0.0413973,-0.0413973,0.04,0.0011150699,394.1671343233927
33,HIP 5158 b,b,HIP 5158,5.97334469937888,0.52,86.90317161570154,13.6,0.985,224.26655861202264,1.1744270715967736e-11,328.81777777777774,3.184,0.78,4962.0,-0.959,0.75,6.0,0.1,51.6026,19.35,230.1580182,<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>,Radial Velocity,2009,2010-03,1,0,0,0,16.5094891,-22.4536134,159.04576,-84.27097,0.27,-0.213,0.0,0.02,-0.02,0.0,0.06,-0.06,0.0,2.2,-1.9,1.0,0.1043,-0.1039,0.0387863,-0.0387863,0.89,0.0036360975,18.61073363156797
34,HD 132563 b,b,HD 132563,24.02587701308297,0.22,86.90317161570154,13.6,1.03,218.109587168424,1.0818871645805825e-12,109.44378698224853,3.184,1.23,6289.0,0.374,1.3,2.31,-0.06,105.155,9.48093,92.4090915,<a refstr=DESIDERA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A..90D/abstract target=ref> Desidera et al. 2011 </a>,Radial Velocity,2011,2011-09,1,1,0,0,224.5892892,44.0428571,74.89413,59.44282,0.27,-0.213,0.0,0.22,-0.15,0.0,0.07,-0.04,0.0,1.886,-1.886,0.0,0.282,-0.282,0.0253223,-0.0253223,2.62,0.006302569,5.959875964488282
35,HD 20794 c,c,HD 20794,0.6899180524011376,0.0,90.0,1.35,5.36,565.2640094096643,1.1744270715967736e-11,2.153237240075615,3.184,0.7,5401.0,-0.163132153847872,0.92,5.76,-0.4,6.00278,166.561,3120.504737,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,Radial Velocity,2011,2011-10,1,0,0,0,49.9997666,-43.0666533,250.73443,-56.06514,0.27,-0.213,0.0,0.05,-0.05,0.0,0.02,-0.02,0.0,0.66,-0.66,0.0,0.00854,-0.00851,0.23478,-0.23478,0.2036,0.0044602796,24.3924205986611
36,HD 20794 d,d,HD 20794,1.5543426435192886,0.0,90.0,2.04,3.11,431.1895730013037,1.1744270715967736e-11,4.916824196597354,3.184,0.7,5401.0,-0.163132153847872,0.92,5.76,-0.4,6.00278,166.561,3120.504737,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,Radial Velocity,2011,2011-10,1,0,0,0,49.9997666,-43.0666533,250.73443,-56.06514,0.27,-0.213,0.0,0.05,-0.05,0.0,0.02,-0.02,0.0,0.66,-0.66,0.0,0.00854,-0.00851,0.23478,-0.23478,0.3499,0.0044602796,24.3924205986611
37,CHXR 73 b,b,CHXR 73,32320.25572007897,0.0,86.90317161570154,12.3,11.8,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.35,3099.0,-0.0712,0.95,0.002,0.02,190.374,5.23435,22.1935378,<a refstr=LUHMAN_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref> Luhman et al. 2006 </a>,Imaging,2006,2006-10,0,0,0,0,166.6193985,-77.6258725,297.2776,-15.92181,0.27,-0.213,0.0,0.05,-0.05,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,6.647,-6.22,0.175856,-0.175856,210.0,0.0046057235,137.98436811894152
