Planet Name,Planet Letter,Host Star Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Planet Reference Name,Discovery Method,Discovery Year,Discovery Publication Date,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Star Age (Gyr)
HD 108236 c,c,HD 108236,0.1039938786373312,0.034,88.3,2.071,3.06,1049.8664393420595,162.167509425773,5.538534349173554,2.86,0.87,5660.0,-0.15,0.88,6.7,-0.28,64.5978,15.4517,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,Transit,2020,2021-02,1,0,0,0,186.5740627,-51.3630519,298.93443,11.31345,0.052,-0.052,0.0,0.0,0.01,-0.01,0.0,4.0,-5.1,0.0,14.164520211887895
TOI-1224 b,b,TOI-1224,0.0664496047843617,0.0,89.19,2.104,3.0,549.6803278110128,13.9295288437077,27.6676,1.67590401611464,0.4,3326.0,-1.697,0.4,0.21,0.02,37.3312,26.7584,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,Transit,2024,2024-07,0,0,0,0,37.1978356,-80.8991053,298.34809,-35.34548,0.094,-0.091,0.0,0.0,0.01,-0.01,0.0,0.027,-0.027,0.0,98.82117688026185
TOI-1224 c,c,TOI-1224,17.945466,0.0,86.90317161570154,2.884,1.99,303.122687619849,1.99523830301101,51.984099999999984,3.07400719591409,0.4,3326.0,-1.697,0.4,0.21,0.02,37.3312,26.7584,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,Transit,2024,2024-07,0,0,0,0,37.1978356,-80.8991053,298.34809,-35.34548,0.098,-0.098,0.0,0.0,0.01,-0.01,0.0,0.027,-0.027,0.0,98.82117688026185
HD 48948 b,b,HD 48948,0.1259292789262357,0.055,86.90317161570154,2.06,3.07,730.2965254906032,138.85,9.177335640138407,3.184,0.69,4593.0,-0.78884954526911,0.68,11.48,-0.21,16.9043,59.1275,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>,Radial Velocity,2024,2024-07,1,0,1,0,102.489811,60.3373133,155.49874,23.16543,0.27,-0.213,0.0,0.0,0.0,-0.0,0.0,1.93,-4.67,0.0,25.28583345636825
HD 48948 c,c,HD 48948,0.6518403298434108,0.55,86.90317161570154,2.6,2.27,422.1768329196349,15.5,14.619377162629757,3.184,0.69,4593.0,-0.78884954526911,0.68,11.48,-0.21,16.9043,59.1275,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>,Radial Velocity,2024,2024-07,1,0,1,0,102.489811,60.3373133,155.49874,23.16543,0.27,-0.213,0.0,0.0,0.0,-0.0,0.0,1.93,-4.67,0.0,25.28583345636825
HD 48948 d,d,HD 48948,2.5897108152769484,0.055,86.90317161570154,3.24,1.71,266.55758789656426,2.46,22.70242214532872,3.184,0.69,4593.0,-0.78884954526911,0.68,11.48,-0.21,16.9043,59.1275,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>,Radial Velocity,2024,2024-07,1,0,1,0,102.489811,60.3373133,155.49874,23.16543,0.27,-0.213,0.0,0.0,0.0,-0.0,0.0,1.93,-4.67,0.0,25.28583345636825
WASP-76 b,b,WASP-76,0.0311726949961084,0.0,89.623,20.781,0.17,2275.6558830621702,5.533616940064665e-13,139.41437274018594,3.8,1.46,6329.0,0.65417654187796,1.76,1.816,0.366,194.459,5.12043,<a refstr=EHRENREICH_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.580..597E/abstract target=ref>Ehrenreich et al. 2020</a>,Transit,2016,2016-01,0,0,0,0,26.632936,2.700389,149.08514,-57.34698,0.863,-0.852,0.0,0.0,0.07,-0.07,0.0,0.274,-0.274,0.0,3.882557180532783
OGLE-2014-BLG-0221L b,b,OGLE-2014-BLG-0221L,55.14892996294442,0.0,86.90317161570154,12.9,3.54,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.69,5551.0,-0.0712,0.95,4.0,0.02,3680.0,2.713985,<a refstr=KIRIKAWA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..154K/abstract target=ref>Kirikawa et al. 2024</a>,Microlensing,2024,2024-04,0,0,0,0,270.30375,-27.4267639,3.04491,-2.19528,0.27,-0.213,0.0,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,25.28583345636825
PDS 70 b,b,PDS 70,644.6412107305764,0.19,140.0,30.488,0.185,49.08532208449365,1.1744270715967736e-11,585.4863592844545,3.184,0.76,3972.0,-0.455931955649724,1.26,0.005,-0.11,113.064,8.81593,<a refstr=WANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..263W/abstract target=ref>Wang et al. 2020</a>,Imaging,2018,2018-09,0,0,0,1,212.0421402,-41.3980405,318.06196,19.20844,2.242,-1.906,0.0,0.0,0.15,-0.15,0.0,0.001,-0.001,0.0,19.85939524502785
bet Pic b,b,bet Pic,148.91035325723504,0.106,89.009,18.49485,3.24,155.38622172800348,7.818106851747219e-11,143.455442757223,3.184,1.79,8038.68,0.95281911962271,1.54416,0.0165,-0.21,19.7442,50.6231,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Imaging,2008,2009-01,1,0,0,4,86.8212337,-51.066148,258.36341,-30.61167,0.67254,-0.67254,0.0,0.0,0.0511945,-0.05,0.0,0.0045,-0.0045,0.0,2.332745834249667
51 Eri b,b,51 Eri,227.7832267506716,0.45,133.0,13.4,1.45,120.56018618181363,3.070409229086173e-11,81.17752410768168,3.184,1.75,7295.0,0.85,1.48726,0.02,-0.027,29.7575,33.577,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,Imaging,2015,2015-00,1,0,0,6,69.4007424,-2.4738245,198.61297,-30.65764,0.27,-0.213,0.0,0.0,0.0454337,-0.0550789,0.0,0.006,-0.006,0.0,2.468339415570464
VHS J125601.92-125723.9 b,b,VHS J125601.92-125723.9,155500.9028355428,0.68,24.0,13.675,10.9,1194.0,1.1744270715967736e-11,9.32814340390306,3.184,0.07,2620.0,-3.14,0.95,0.14,0.02,12.7,78.8,<a refstr=DUPUY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.1688D/abstract target=ref>Dupuy et al. 2023</a>,Imaging,2015,2015-05,0,0,0,4,194.008964,-12.956031,304.67123,49.90019,0.27,-0.213,0.0,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,7713.560673657697
GQ Lup b,b,GQ Lup,7509.842836890552,0.0,86.90317161570154,33.6,0.921,29.910982073609137,1.1744270715967736e-11,299.49552918786407,3.184,0.7,4360.0,-0.0723898966143153,1.94153,0.001,-0.35,151.169,6.58678,<a refstr=NEUHAEUSER_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A%26A...484..281N/abstract target=ref> Neuh&auml;user et al. 2008 </a>,Imaging,2004,2005-05,0,0,0,1,237.3003643,-35.6515055,338.9253,14.51078,5.6,-5.6,0.0,0.0,0.0511945,-0.05,0.0,0.001,-0.001,0.0,24.3924205986611
PDS 70 c,c,PDS 70,1428.8658207057572,0.11,132.0,22.866,0.292,34.581253846218225,1.1744270715967736e-11,462.5781363828621,3.184,0.76,3972.0,-0.488529214244362,1.0631576,0.005,-0.11,113.064,8.81593,<a refstr=WANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..263W/abstract target=ref>Wang et al. 2020</a>,Imaging,2019,2019-06,0,0,0,1,212.0421402,-41.3980405,318.06196,19.20844,6.837,-5.044,0.0,0.0,0.036471,-0.112212,0.0,0.001,-0.001,0.0,19.85939524502785
bet Pic c,c,bet Pic,20.604189898956115,0.314,88.947,12.5,9.07,336.552331990721,7.860617203965814e-11,38.61326772544382,3.184,1.79,7890.0,0.958,2.0116005,0.023,-0.21,19.7442,50.6231,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Radial Velocity,2019,2019-08,1,0,0,0,86.8212337,-51.066148,258.36341,-30.61167,0.27,-0.213,0.0,0.0,0.172099,-0.150008,0.0,2.2,-1.9,0.0,2.332745834249667
2MASS J12073346-3932539 b,b,2MASS J12073346-3932539,18122.115948372262,0.0,86.90317161570154,12.9,4.07,8.774095495688735,1.1744270715967736e-11,3473.817068793157,3.184,0.02,2825.0,-2.56085685784885,0.21887,0.008,0.02,64.308,15.5242,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,Imaging,2004,2004-10,0,0,0,1,181.8890906,-39.5484399,293.79011,22.54309,0.27,-0.213,0.0,0.0,0.006976,-0.006976,0.0,0.004,-0.003,0.0,176776.69529663687
TOI-5704 b,b,TOI-5704,3.771116,0.0,88.94,3.227,1.72,949.07,125.06433293716,18.028962950138503,2.3375061149659,0.73,4590.0,-0.639265378494127,0.76,4.0,0.428,89.637,11.1273,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,Transit,2023,2023-01,0,0,0,0,169.8248694,44.9890782,162.7089,64.37164,0.187,-0.14,0.0,0.0,0.06,-0.06,0.0,2.2,-1.9,0.0,21.96306008559403
HD 23472 d,d,HD 23472,0.0683977922484665,0.07,87.95,0.75,7.5,937.3137450420862,117.0,1.115850029756001,1.99,0.67,4684.0,-0.625,0.71,4.0,-0.2,39.0341,25.5897,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,Transit,2022,2022-09,1,0,0,0,55.4590314,-62.7672667,277.0269,-44.84798,0.067,-0.057,0.0,0.0,0.02,-0.02,0.0,2.2,-1.9,0.0,27.215291681065985
TOI-672 b,b,TOI-672,3.633575,0.0,88.43,5.26,0.91,676.15,33.4742849468177,94.88203017832647,1.78090766973933,0.54,3765.0,-1.32054938983531,0.54,4.0,-0.71,66.9071,14.9172,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,Transit,2023,2023-01,0,0,0,0,167.9908627,-39.3281151,282.7301,19.60977,0.083,-0.099,0.0,0.0,0.02,-0.02,0.0,2.2,-1.9,0.0,46.66761436486773
TOI-199 b,b,TOI-199,1.7980930810844238,0.09,90.0,9.079,0.397,359.21381784656506,2.75278,122.58810380725762,6.554,0.94,5255.0,-0.338,0.82,0.8,0.22,102.27,9.74907,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,Transit,2023,2023-09,0,0,0,0,80.1058735,-59.8954326,268.76577,-34.55037,0.056,-0.056,0.0,0.0,0.0,-0.0,0.0,1.2,-0.6,0.0,11.672943031448549
TOI-199 c,c,TOI-199,4.698143131276292,0.096,90.0,11.4,0.33,260.8044574429227,1.1744270715967736e-11,193.2778108268888,3.184,0.94,5255.0,-0.338,0.82,0.8,0.22,102.27,9.74907,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,Transit Timing Variations,2023,2023-09,0,0,0,0,80.1058735,-59.8954326,268.76577,-34.55037,0.27,-0.213,0.0,0.0,0.0,-0.0,0.0,1.2,-0.6,0.0,11.672943031448549
KELT-18 b,b,KELT-18,0.0494623981920839,0.0,88.86,17.598,0.377,2127.692926250438,2.517873373516636e-13,84.89065650612646,4.644,1.52,6670.0,0.813,1.91,1.9,0.09,321.376,3.08284,<a refstr=MCLEOD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..263M/abstract target=ref>McLeod et al. 2017</a>,Transit,2017,2017-06,0,0,0,0,216.5238248,59.4442735,102.71473,53.81036,0.471,-0.404,0.0,0.0,0.04,-0.04,0.0,0.2,-0.2,0.0,3.510678262005768
TOI-2096 c,c,TOI-2096,0.1048107762190858,0.1,89.56,1.914,3.39,389.6009370336524,3.7,69.25134215500944,1.354,0.23,3300.0,-2.228,0.23,4.0,-0.03,48.4809,20.5978,<a refstr=POZUELOS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230308174P/abstract target=ref>Pozuelos et al. 2023</a>,Transit,2023,2023-03,0,0,0,0,151.6186989,74.8272107,135.57433,37.96972,0.095,-0.095,0.0,0.0,0.01,-0.01,0.0,2.2,-1.9,-1.0,394.1671343233927
HIP 5158 b,b,HIP 5158,5.97334469937888,0.52,86.90317161570154,13.6,0.985,224.26655861202264,1.1744270715967736e-11,328.81777777777774,3.184,0.78,4962.0,-0.959,0.75,6.0,0.1,51.6026,19.35,<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>,Radial Velocity,2009,2010-03,1,0,0,0,16.5094891,-22.4536134,159.04576,-84.27097,0.27,-0.213,0.0,0.0,0.06,-0.06,0.0,2.2,-1.9,1.0,18.61073363156797
HD 132563 b,b,HD 132563,24.02587701308297,0.22,86.90317161570154,13.6,1.03,218.109587168424,1.0818871645805825e-12,109.44378698224853,3.184,1.23,6289.0,0.374,1.3,2.31,-0.06,105.155,9.48093,<a refstr=DESIDERA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A..90D/abstract target=ref> Desidera et al. 2011 </a>,Radial Velocity,2011,2011-09,1,1,0,0,224.5892892,44.0428571,74.89413,59.44282,0.27,-0.213,0.0,0.0,0.07,-0.04,0.0,1.886,-1.886,0.0,5.959875964488282
HD 20794 c,c,HD 20794,0.6899180524011376,0.0,90.0,1.35,5.36,565.2640094096643,1.1744270715967736e-11,2.153237240075615,3.184,0.7,5401.0,-0.163132153847872,0.92,5.76,-0.4,6.00278,166.561,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,Radial Velocity,2011,2011-10,1,0,0,0,49.9997666,-43.0666533,250.73443,-56.06514,0.27,-0.213,0.0,0.0,0.02,-0.02,0.0,0.66,-0.66,0.0,24.3924205986611
HD 20794 d,d,HD 20794,1.5543426435192886,0.0,90.0,2.04,3.11,431.1895730013037,1.1744270715967736e-11,4.916824196597354,3.184,0.7,5401.0,-0.163132153847872,0.92,5.76,-0.4,6.00278,166.561,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,Radial Velocity,2011,2011-10,1,0,0,0,49.9997666,-43.0666533,250.73443,-56.06514,0.27,-0.213,0.0,0.0,0.02,-0.02,0.0,0.66,-0.66,0.0,24.3924205986611
CHXR 73 b,b,CHXR 73,32320.25572007897,0.0,86.90317161570154,12.3,11.8,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.35,3099.0,-0.0712,0.95,0.002,0.02,190.374,5.23435,<a refstr=LUHMAN_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref> Luhman et al. 2006 </a>,Imaging,2006,2006-10,0,0,0,0,166.6193985,-77.6258725,297.2776,-15.92181,0.27,-0.213,0.0,0.0,0.0511945,-0.05,0.0,2.2,-1.9,0.0,137.98436811894152
alf Ari b,b,alf Ari,6.743822141799098,0.25,86.90317161570154,13.4,1.31,762.9332768471257,1.5145579624567728e-10,0.929351482842503,3.184,1.5,4553.0,1.934,13.9,4.0,-0.16,20.21019,49.48,<a refstr=LEE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...529A.134L/abstract target=ref> Lee et al. 2011 </a>,Radial Velocity,2010,2011-05,1,1,0,0,31.793286,23.462421,144.57834,-36.20556,0.27,-0.213,0.0,0.0,0.3,-0.05,0.0,2.2,-1.9,0.0,3.628873693012116
Kepler-370 c,c,Kepler-370,0.3324749152826433,0.0,88.73,1.91,3.4,730.522648283816,1.4274049288374643e-16,4.503827160493827,3.418,0.98,5852.0,0.0060872065096549,0.9,0.4,0.132276,1167.94,0.828058,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,292.1710683,40.9162381,73.50995,10.94288,0.89,-0.89,0.0,0.0,0.42,-0.42,0.0,3.2,-3.2,0.0,10.518039822492824
Kepler-400 b,b,Kepler-400,0.155148245796776,0.0,89.97,1.65,4.11,1053.6143624982792,6.793661204185699e-15,2.058601134215501,3.128,1.08,5886.0,0.152,1.15,3.63,0.08436,845.97,2.713985,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,290.9444679,40.4800528,72.6919,11.58428,0.3,-0.3,0.0,0.0,0.21,-0.21,0.0,1.58,-1.77,0.0,8.249746644799178
Kepler-221 b,b,Kepler-221,0.0495036675076477,0.0,85.58,1.71,3.92,1215.2287970832142,308.885,4.348750743604997,2.064,0.816,5243.0,-0.404288558129212,0.82,4.57,0.0616056,385.231,2.56708,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,296.6547477,46.8352242,80.37293,10.80167,0.17,-0.17,0.0,0.0,0.07,-0.07,0.0,3.67,-2.65,0.0,16.625495706656082
Kepler-367 c,c,Kepler-367,0.971776328282746,0.0,89.16,1.2,5.95,382.963446035709,3.761,3.024574669187146,5.236,0.677,4710.0,-0.616711670336351,0.69,2.29,0.197365,188.027,5.2896,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,297.292558,49.9817499,83.40326,11.92128,0.16,-0.16,0.0,0.0,0.04,-0.04,0.0,1.99,-0.822,0.0,26.5172405479824
Kepler-393 c,c,Kepler-393,0.2494133587892879,0.0,89.77,1.33,5.44,1016.5326067604556,2.1572398442573893e-14,0.9288489813064486,5.401,1.21,6189.0,0.523936006688838,1.38,2.15,0.0321802,881.404,1.10585,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,290.995205,45.192188,77.06756,13.57678,0.31,-0.31,0.0,0.0,0.26,-0.26,0.0,0.42,-0.42,0.0,6.209213230591553
Kepler-304 c,c,Kepler-304,0.0881506491017829,0.0,88.47,2.17,2.88,832.6313216750106,73.598,9.89056920814955,1.114,0.8,4731.0,-0.661600287137952,0.69,2.09,0.05,434.684,2.2721,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,294.4418031,40.5575408,73.9863,9.2491,0.15,-0.15,0.0,0.0,0.04,-0.04,0.0,1.63,-0.66,0.0,17.469281074217104
Kepler-360 b,b,Kepler-360,0.0594972757024226,0.0,89.73,1.65,4.11,1462.7476154864742,415.434,2.423015307938768,2.312,0.95,6053.0,-0.132359712640031,1.06,3.4,0.16,876.044,1.11282,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,286.2847077,44.7815817,75.2999,16.46655,0.78,-0.78,0.0,0.0,0.5,-0.5,0.0,1.9,-1.9,0.0,11.368181186539106
